Rainfall - (MM), Year, Statistics, Country
45.6999,1961, Jan Average, Afghanistan
36.3156,1961, Feb Average, Afghanistan
67.186,1961, Mar Average, Afghanistan
83.5753,1961, Apr Average, Afghanistan
20.042,1961, May Average, Afghanistan
6.23485,1961, Jun Average, Afghanistan
11.278,1961, Jul Average, Afghanistan
7.07352,1961, Aug Average, Afghanistan
3.23567,1961, Sep Average, Afghanistan
5.44779,1961, Oct Average, Afghanistan
29.4008,1961, Nov Average, Afghanistan
24.034,1961, Dec Average, Afghanistan
14.1697,1962, Jan Average, Afghanistan
34.7725,1962, Feb Average, Afghanistan
47.4306,1962, Mar Average, Afghanistan
54.6099,1962, Apr Average, Afghanistan
24.1415,1962, May Average, Afghanistan
6.51486,1962, Jun Average, Afghanistan
5.46194,1962, Jul Average, Afghanistan
5.11733,1962, Aug Average, Afghanistan
2.29556,1962, Sep Average, Afghanistan
8.87976,1962, Oct Average, Afghanistan
15.0474,1962, Nov Average, Afghanistan
26.2709,1962, Dec Average, Afghanistan
5.84007,1963, Jan Average, Afghanistan
44.8966,1963, Feb Average, Afghanistan
58.7311,1963, Mar Average, Afghanistan
71.9117,1963, Apr Average, Afghanistan
70.4776,1963, May Average, Afghanistan
4.46068,1963, Jun Average, Afghanistan
5.46345,1963, Jul Average, Afghanistan
3.47734,1963, Aug Average, Afghanistan
2.10516,1963, Sep Average, Afghanistan
6.23654,1963, Oct Average, Afghanistan
27.4944,1963, Nov Average, Afghanistan
27.8644,1963, Dec Average, Afghanistan
55.7747,1964, Jan Average, Afghanistan
70.419,1964, Feb Average, Afghanistan
61.252,1964, Mar Average, Afghanistan
58.9231,1964, Apr Average, Afghanistan
15.6237,1964, May Average, Afghanistan
2.76395,1964, Jun Average, Afghanistan
17.208,1964, Jul Average, Afghanistan
5.85854,1964, Aug Average, Afghanistan
2.79432,1964, Sep Average, Afghanistan
2.86966,1964, Oct Average, Afghanistan
10.9069,1964, Nov Average, Afghanistan
16.3184,1964, Dec Average, Afghanistan
70.5854,1965, Jan Average, Afghanistan
50.6417,1965, Feb Average, Afghanistan
33.8604,1965, Mar Average, Afghanistan
83.4531,1965, Apr Average, Afghanistan
38.471,1965, May Average, Afghanistan
2.66484,1965, Jun Average, Afghanistan
17.9831,1965, Jul Average, Afghanistan
8.97844,1965, Aug Average, Afghanistan
2.45922,1965, Sep Average, Afghanistan
6.38073,1965, Oct Average, Afghanistan
27.0313,1965, Nov Average, Afghanistan
20.0104,1965, Dec Average, Afghanistan
8.68127,1966, Jan Average, Afghanistan
73.4805,1966, Feb Average, Afghanistan
68.0135,1966, Mar Average, Afghanistan
62.0434,1966, Apr Average, Afghanistan
11.1561,1966, May Average, Afghanistan
1.84159,1966, Jun Average, Afghanistan
5.94204,1966, Jul Average, Afghanistan
7.59218,1966, Aug Average, Afghanistan
4.98534,1966, Sep Average, Afghanistan
21.818,1966, Oct Average, Afghanistan
1.74421,1966, Nov Average, Afghanistan
10.8545,1966, Dec Average, Afghanistan
17.9658,1967, Jan Average, Afghanistan
72.6506,1967, Feb Average, Afghanistan
61.9184,1967, Mar Average, Afghanistan
77.2726,1967, Apr Average, Afghanistan
22.6761,1967, May Average, Afghanistan
7.80402,1967, Jun Average, Afghanistan
8.88312,1967, Jul Average, Afghanistan
3.80216,1967, Aug Average, Afghanistan
3.99917,1967, Sep Average, Afghanistan
27.9916,1967, Oct Average, Afghanistan
15.6206,1967, Nov Average, Afghanistan
44.3801,1967, Dec Average, Afghanistan
38.7461,1968, Jan Average, Afghanistan
50.002,1968, Feb Average, Afghanistan
53.0566,1968, Mar Average, Afghanistan
55.8752,1968, Apr Average, Afghanistan
32.7206,1968, May Average, Afghanistan
3.13324,1968, Jun Average, Afghanistan
4.45612,1968, Jul Average, Afghanistan
5.65883,1968, Aug Average, Afghanistan
0.50692,1968, Sep Average, Afghanistan
9.85433,1968, Oct Average, Afghanistan
12.7998,1968, Nov Average, Afghanistan
73.8346,1968, Dec Average, Afghanistan
59.1147,1969, Jan Average, Afghanistan
36.2727,1969, Feb Average, Afghanistan
57.7518,1969, Mar Average, Afghanistan
67.2279,1969, Apr Average, Afghanistan
40.3836,1969, May Average, Afghanistan
8.35579,1969, Jun Average, Afghanistan
11.11,1969, Jul Average, Afghanistan
2.89568,1969, Aug Average, Afghanistan
2.82349,1969, Sep Average, Afghanistan
20.2572,1969, Oct Average, Afghanistan
29.271,1969, Nov Average, Afghanistan
10.1182,1969, Dec Average, Afghanistan
56.5905,1970, Jan Average, Afghanistan
21.6063,1970, Feb Average, Afghanistan
63.3983,1970, Mar Average, Afghanistan
26.2745,1970, Apr Average, Afghanistan
8.73092,1970, May Average, Afghanistan
2.91018,1970, Jun Average, Afghanistan
11.8979,1970, Jul Average, Afghanistan
7.70175,1970, Aug Average, Afghanistan
7.73748,1970, Sep Average, Afghanistan
3.54449,1970, Oct Average, Afghanistan
3.16923,1970, Nov Average, Afghanistan
15.5031,1970, Dec Average, Afghanistan
11.1445,1971, Jan Average, Afghanistan
40.599,1971, Feb Average, Afghanistan
40.4269,1971, Mar Average, Afghanistan
30.1217,1971, Apr Average, Afghanistan
7.64149,1971, May Average, Afghanistan
3.45896,1971, Jun Average, Afghanistan
5.98444,1971, Jul Average, Afghanistan
3.86958,1971, Aug Average, Afghanistan
10.9051,1971, Sep Average, Afghanistan
2.25707,1971, Oct Average, Afghanistan
10.6084,1971, Nov Average, Afghanistan
18.1826,1971, Dec Average, Afghanistan
75.5523,1972, Jan Average, Afghanistan
45.2468,1972, Feb Average, Afghanistan
90.3524,1972, Mar Average, Afghanistan
50.1083,1972, Apr Average, Afghanistan
41.4901,1972, May Average, Afghanistan
10.7987,1972, Jun Average, Afghanistan
6.53292,1972, Jul Average, Afghanistan
2.778,1972, Aug Average, Afghanistan
4.77673,1972, Sep Average, Afghanistan
5.68214,1972, Oct Average, Afghanistan
17.6139,1972, Nov Average, Afghanistan
51.0976,1972, Dec Average, Afghanistan
32.9926,1973, Jan Average, Afghanistan
48.04,1973, Feb Average, Afghanistan
77.8935,1973, Mar Average, Afghanistan
39.5368,1973, Apr Average, Afghanistan
17.04,1973, May Average, Afghanistan
1.00658,1973, Jun Average, Afghanistan
13.4236,1973, Jul Average, Afghanistan
